rank,name,handle,channel_id,channel_url,uploads_playlist,country_or_region,primary_niche,tags,isabella_priority,isabella_match_reason,summary_es,summary_en,tone,speech_speed,subtitle_reliability,shorts_volume_score,recent_shorts_sample_count,recent_2026_shorts_sample_count,captioned_sample_count,recent_shorts_median_views,recent_shorts_top_view_count,subscriber_count,total_video_count,adult_risk,review_confidence,approval_source,quality_notes,evidence_urls
1,Gabriela Flores Villar,@gabrielafloresv_,UCRIWIquWdo_lquf4xfC4KEw,https://www.youtube.com/@gabrielafloresv_,UURIWIquWdo_lquf4xfC4KEw,unknown,comedy,lifestyle|comedy|humor|skits|dance|entertainment|pop_culture|relatable|peru|vlog,false,,Canal de comedia y estilo de vida con sketches humorísticos sobre situaciones cotidianas.,Comedy and lifestyle channel featuring humorous skits about everyday situations.,"humorous, energetic",fast,medium,5,49,49,0,8513232,30885633,16700000,1577,low,high,strict_review,"High quality native Spanish comedy skits, great for everyday vocabulary.",https://www.youtube.com/shorts/gsd2_6SoMBU|https://www.youtube.com/shorts/LAe09ABHV3U|https://www.youtube.com/shorts/X24ZJlz49Ss|https://www.youtube.com/shorts/1sfarcBh9YQ|https://www.youtube.com/shorts/yv6X0Ob4L0w
2,Meowrld,@meowrld,UCdR_Myj8gkEC1K5bVlLQ_dQ,https://www.youtube.com/@meowrld,UUdR_Myj8gkEC1K5bVlLQ_dQ,MX,commentary,gaming|animation|commentary|humor|entertainment|pop_culture|storytime|vlog|challenges|reactions,false,,"Canal de entretenimiento con animaciones, historias y comentarios humorísticos.","Entertainment channel featuring animations, stories, and humorous commentary.","loud, energetic",fast,medium,5,46,46,0,6058298,14752457,6810000,938,low,medium,strict_review,"Fast-paced and energetic, good for advanced listening practice but might be overwhelming for beginners.",https://www.youtube.com/shorts/l2byPf_j3R0|https://www.youtube.com/shorts/y1mUlyqOZp8|https://www.youtube.com/shorts/kh1o1sUiCbM|https://www.youtube.com/shorts/pQavqJ_8U1o|https://www.youtube.com/shorts/oYEdr13MBDg
3,Mol ASMR.,@molasmr,UC3zdAaknTPGOAKPfymWJn_w,https://www.youtube.com/@molasmr,UU3zdAaknTPGOAKPfymWJn_w,CO,lifestyle,asmr|roleplay|lifestyle|relaxation|comedy|colombia|spoken_spanish|entertainment|health|wellness,false,,"Canal de ASMR colombiano que incluye juegos de rol, comedia y sonidos relajantes.","Colombian ASMR channel featuring roleplays, comedy, and relaxing sounds.","calm, relaxing, humorous",slow,medium,3,24,24,0,723260,1202822,6360000,1888,low,high,strict_review,"Excellent for language learners due to slow, clear, and deliberate speech in roleplay scenarios.",https://www.youtube.com/shorts/JYzaFey7S5Y|https://www.youtube.com/shorts/N13wpxtMA5M|https://www.youtube.com/shorts/zQ7l7ZfB_Ns|https://www.youtube.com/shorts/fP90tpRPTqg|https://www.youtube.com/shorts/mYk6L4UxWL0
4,Jexs,@jexsyt,UCapRTMkO4n3LP5dkmIayy5A,https://www.youtube.com/@jexsyt,UUapRTMkO4n3LP5dkmIayy5A,GT,making_from_scratch,cooking|food|challenges|commentary|lifestyle|entertainment|pop_culture|humor|diy|recipes,true,"Features cooking, making-from-scratch, and commentary which are highly valued.","Canal de entretenimiento centrado en recrear recetas virales, retos de cocina y comentarios.","Entertainment channel focused on recreating viral recipes, cooking challenges, and commentary.","energetic, engaging",fast,medium,4,39,16,0,15285430,86959921,12700000,326,low,high,strict_review,"High production value, engaging cooking and challenge content with natural spoken Spanish.",https://www.youtube.com/shorts/1lMFY7ARZrk|https://www.youtube.com/shorts/h22CAPU0B6s|https://www.youtube.com/shorts/W5AjBOKV0x8|https://www.youtube.com/shorts/YIWv7c7slps|https://www.youtube.com/shorts/o0sGYHrHKJ4
5,Lily Belloncle,@lilybellonclee,UC70T4kYA5LPVnnlliSZ2iAQ,https://www.youtube.com/@lilybellonclee,UU70T4kYA5LPVnnlliSZ2iAQ,unknown,lifestyle,lifestyle|diy|crafts|storytime|vlog|entertainment|pop_culture|mexico|art|challenges,true,"Strong focus on lifestyle, DIY, crafts, and storytime.","Vlogs de estilo de vida, manualidades, arte y storytimes personales.","Lifestyle vlogs, crafts, art, and personal storytimes.","expressive, personal",medium,medium,5,44,33,0,16823821,63009780,18900000,214,low,high,strict_review,"Clear Mexican Spanish, highly engaging personal storytelling and DIY projects.",https://www.youtube.com/shorts/u7blZC_bkS0|https://www.youtube.com/shorts/zOdpqCE-YLA|https://www.youtube.com/shorts/Vt2Rb2g7QCM|https://www.youtube.com/shorts/OmTnK-0snRs|https://www.youtube.com/shorts/SlcLUx0UGMY
6,Los PQliares,@lospqliares,UCWiKjT5UO91nOc0HwWLgq6w,https://www.youtube.com/@lospqliares,UUWiKjT5UO91nOc0HwWLgq6w,unknown,commentary,comedy|skits|street_interviews|humor|lifestyle|entertainment|pop_culture|relatable|conversation|mexico,true,"Features street interviews and conversational comedy, great for adult learners.",Canal de comedia con sketches sobre situaciones cotidianas y entrevistas en la calle.,Comedy channel featuring skits about everyday situations and street interviews.,"humorous, casual",fast,medium,4,40,40,0,7155901,117899086,4380000,352,medium,high,strict_review,"Great exposure to colloquial Spanish, slang, and natural conversational pacing.",https://www.youtube.com/shorts/dDWgBvTSrTY|https://www.youtube.com/shorts/XXjzRm9NyJs|https://www.youtube.com/shorts/WaWJ1MSxslM|https://www.youtube.com/shorts/xmoyeW5qhH0|https://www.youtube.com/shorts/RwaIAy-EYok
7,Susy Mouriz,@susymouriz,UC2Rh-eKkibnZq8pRxYYoSSQ,https://www.youtube.com/@susymouriz,UU2Rh-eKkibnZq8pRxYYoSSQ,MX,comedy,comedy|challenges|lifestyle|humor|entertainment|family_friendly|pop_culture|vlog|skits|relatable,false,,"Canal de entretenimiento familiar con retos, sketches de comedia y vlogs.","Family-friendly entertainment channel with challenges, comedy skits, and vlogs.","energetic, playful",fast,medium,5,43,43,0,2523607,15543844,35300000,2547,low,high,strict_review,"Very popular creator, content leans slightly juvenile but offers clear, native Spanish dialogue.",https://www.youtube.com/shorts/s47CQ6fhviY|https://www.youtube.com/shorts/8cNQqYV2ejA|https://www.youtube.com/shorts/KwlKLY6YdPQ|https://www.youtube.com/shorts/Slk2XR4V-Ts|https://www.youtube.com/shorts/N5z7lmN6F3M
8,Kike y su familia,@kikeysufamilia,UCUKhn9nCYVt7GmuYivsoFkQ,https://www.youtube.com/@kikeysufamilia,UUUKhn9nCYVt7GmuYivsoFkQ,CO,comedy,comedy|family|skits|humor|lifestyle|relatable|entertainment|vlog|everyday_life|parody,false,,Sketches de comedia familiar que retratan situaciones divertidas de la vida diaria.,Family comedy skits portraying funny everyday life situations.,"humorous, lighthearted",medium,medium,3,27,27,0,1940603,6549325,15900000,1456,low,high,strict_review,Good for learning family-related vocabulary and everyday conversational Spanish.,https://www.youtube.com/shorts/3RSdziGL6C0|https://www.youtube.com/shorts/U69D53sFS6o|https://www.youtube.com/shorts/LWByAMicnxo|https://www.youtube.com/shorts/_6oVMjQy1dA|https://www.youtube.com/shorts/Y8y_Vh3mv7Q
9,MrDuarte XD,@mrduarte_xd,UCLZefG8N0Si_GUxIAwji6uQ,https://www.youtube.com/@mrduarte_xd,UULZefG8N0Si_GUxIAwji6uQ,US,gaming,gaming|minecraft|comedy|animation|roleplay|humor|entertainment|video_games,false,,Canal de cortos de comedia y rol centrados en el videojuego Minecraft.,Comedy and roleplay shorts channel centered around the video game Minecraft.,energetic,fast,medium,3,23,23,0,9675571,22595180,6590000,912,low,high,strict_review,"Fast-paced gaming content, primarily aimed at a younger audience but features native Spanish.",https://www.youtube.com/shorts/50etTysh_mI|https://www.youtube.com/shorts/sEmx1kRk7nc|https://www.youtube.com/shorts/EyfMDXbd2fc|https://www.youtube.com/shorts/ABmEo6QixOw|https://www.youtube.com/shorts/FPwFyRFbcR4
10,Ivanova BM,@ivanovabm,UC9Y0kwvwXvJdNcKkmlgLM4w,https://www.youtube.com/@ivanovabm,UU9Y0kwvwXvJdNcKkmlgLM4w,MX,lifestyle,lifestyle|vlogs|storytime|relationships|comedy|personal_stories|entertainment|daily_life,true,"Highly engaging lifestyle and storytime content, perfect for conversational Spanish learning.","Canal de estilo de vida y vlogs donde la creadora comparte historias personales, bromas y anécdotas de su vida diaria.","Lifestyle and vlog channel where the creator shares personal stories, pranks, and anecdotes from her daily life.",engaging,fast,medium,5,46,46,0,1675706,43832022,6920000,930,medium,high,strict_review,"Good production quality with natural, conversational Spanish.",https://www.youtube.com/shorts/9z8asQTQPR4|https://www.youtube.com/shorts/gwOggDYb9Is|https://www.youtube.com/shorts/yK3rxbn4gdA|https://www.youtube.com/shorts/yLoakg3uXwc|https://www.youtube.com/shorts/L3uLMEflIwc
